N,Time                             
500000,0.15536
3026315,1.07759
5552631,2.05141
8078947,3.05657
10605263,4.14551
13131578,5.27347
15657894,6.25555
18184210,7.32231
20710526,8.39207
23236842,9.53042
25763157,10.593
28289473,11.6252
30815789,12.8213
33342105,13.8368
35868421,15.199
38394736,16.2073
40921052,17.3135
43447368,18.4518
45973684,19.5448
50000000,21.5209
